
=== Parasoft C/C++test - Code Coverage Report ===

* LC - Line Coverage
* DC - Decision (Branch) Coverage
* SCC - Simple Condition Coverage
* MCDC - Modified Condition Decision Coverage

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/buffer/include/iox/detail/stack.inl LC=96% 43/45   DC=89% 16/18   SCC=89% 16/18  MCDC=78% 7/9   
  iox::storable_function<unsigned long, T2 (T3...)>::operator ()(T3...) const LC=100% 2/2    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  iox::storable_function<unsigned long, T2 (T3...)>::operator =(const iox::storable_function<unsigned long, T2 (T3...)>&) LC=100% 6/6    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::storable_function<unsigned long, T2 (T3...)>::operator =(iox::storable_function<unsigned long, T2 (T3...)>&&) LC=100% 6/6    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::storable_function<unsigned long, T2 (T3...)>::storable_function(T2 (*)(T3...)) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::storable_function<unsigned long, T2 (T3...)>::storable_function(const iox::storable_function<unsigned long, T2 (T3...)>&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::storable_function<unsigned long, T2 (T3...)>::storable_function(iox::storable_function<unsigned long, T2 (T3...)>&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::storable_function<unsigned long, T2 (T3...)>::storable_function<T1, T2>(T1 &, T2 (T1::*)(T3...)) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::storable_function<unsigned long, T2 (T3...)>::storable_function<T1, T2>(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::storable_function<unsigned long, T2 (T3...)>::storable_function<T1, T2>(const T1 &, T2 (T1::*)(T3...) const) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::storable_function<unsigned long, T2 (T3...)>::swap(iox::storable_function<unsigned long, T2 (T3...)>&) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::storable_function<unsigned long, T2 (T3...)>::~storable_function() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::storable_function<unsigned long, T2 (T3...)>::copy<T1>(const iox::storable_function<unsigned long, T2 (T3...)>&, iox::storable_function<unsigned long, T2 (T3...)>&) LC=100% 5/5    DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::storable_function<unsigned long, T2 (T3...)>::destroy<T1>(iox::storable_function<unsigned long, T2 (T3...)>&) LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  void iox::storable_function<unsigned long, T2 (T3...)>::move<T1>(iox::storable_function<unsigned long, T2 (T3...)>&, iox::storable_function<unsigned long, T2 (T3...)>&) LC=100% 8/8    DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::storable_function<unsigned long, T2 (T3...)>::storeFunctor<T1, T2>(const T1 &) LC=100% 7/7    DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::swap<unsigned long, T2>(iox::storable_function<unsigned long, T2> &, iox::storable_function<unsigned long, T2> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/error_reporting/custom/default/error_reporting.inl LC=98% 40/41   DC=N/A         SCC=50% 8/16   MCDC=0% 0/8    

  iox::er::panic()                 LC=67% 2/3     DC=N/A         SCC=N/A        MCDC=N/A       
  iox::er::panic(const iox::er::SourceLocation &) LC=100% 2/2    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  void iox::er::panic<T1>(const iox::er::SourceLocation &, T1 &&) LC=100% 2/2    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  void iox::er::report<T1, T2>(const iox::er::SourceLocation &, T1, const T2 &) LC=100% 7/7    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  void iox::er::report<T1, T2>(const iox::er::SourceLocation &, iox::er::AssumptionViolationKind, const T1 &, T2 &&) LC=100% 5/5    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  void iox::er::report<T1, T2>(const iox::er::SourceLocation &, iox::er::PreconditionViolationKind, const T1 &, T2 &&) LC=100% 5/5    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  void iox::er::report<T1>(const iox::er::SourceLocation &, iox::er::AssumptionViolationKind, const T1 &) LC=100% 5/5    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  void iox::er::report<T1>(const iox::er::SourceLocation &, iox::er::FatalKind, const T1 &) LC=100% 7/7    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  void iox::er::report<T1>(const iox::er::SourceLocation &, iox::er::PreconditionViolationKind, const T1 &) LC=100% 5/5    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/error_reporting/error_forwarding.hpp LC=80% 12/15   DC=N/A         SCC=N/A        MCDC=N/A       

  void iox::er::forwardFatalError<T1, T2, T3>(T1 &&, T2 &&, const iox::er::SourceLocation &, T3 &&) LC=80% 4/5     DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::er::forwardFatalError<T1, T2>(T1 &&, T2 &&, const iox::er::SourceLocation &) LC=80% 4/5     DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::er::forwardNonFatalError<T1, T2>(T1 &&, T2 &&, const iox::er::SourceLocation &) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::er::forwardPanic<T1>(const iox::er::SourceLocation &, T1 &&) LC=50% 1/2     DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/error_reporting/errors.hpp LC=100% 14/14  DC=N/A         SCC=100% 6/6   MCDC=100% 3/3  

  auto iox::er::toError<T1>(T1 &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  const char * iox::er::toErrorName<T1>(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  const char * iox::er::toModuleName<T1>(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::er::ErrorCode iox::er::toCode<T1>(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::er::ErrorCode iox::er::toCode<iox::er::ErrorCode>(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::er::ModuleId iox::er::toModule<T1>(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::er::Violation::Violation(iox::er::ErrorCode) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::er::Violation::Violation(iox::er::ErrorCode, iox::er::ModuleId) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::er::Violation::code() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::er::Violation::createAssumptionViolation() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::er::Violation::createPreconditionViolation() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::er::Violation::module() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::er::Violation::operator !=(const iox::er::Violation&) const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::er::Violation::operator ==(const iox::er::Violation&) const LC=100% 1/1    DC=N/A         SCC=100% 4/4   MCDC=100% 2/2  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/error_reporting/source_location.hpp LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::er::SourceLocation::SourceLocation(const char *, int, const char *) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/error_reporting/types.hpp LC=100% 4/4    DC=N/A         SCC=100% 8/8   MCDC=100% 4/4  

  iox::er::ErrorCode::operator !=(const iox::er::ErrorCode&) const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::er::ErrorCode::operator ==(const iox::er::ErrorCode&) const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::er::ModuleId::operator !=(const iox::er::ModuleId&) const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::er::ModuleId::operator ==(const iox::er::ModuleId&) const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/concurrent/fifo.inl LC=100% 15/15  DC=100% 4/4    SCC=100% 10/10 MCDC=100% 5/5  

  iox::concurrent::FiFo<T1, unsigned long>::empty() const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::concurrent::FiFo<T1, unsigned long>::is_full() const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::concurrent::FiFo<T1, unsigned long>::pop() LC=100% 7/7    DC=100% 2/2    SCC=100% 4/4   MCDC=100% 2/2  
  iox::concurrent::FiFo<T1, unsigned long>::push(const T1 &) LC=100% 6/6    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/concurrent/lockfree_queue/cyclic_index.inl LC=100% 19/19  DC=100% 6/6    SCC=100% 6/6   MCDC=100% 3/3  

  iox::concurrent::CyclicIndex<unsigned long, T2>::CyclicIndex(T2) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::CyclicIndex<unsigned long, T2>::CyclicIndex(T2, T2) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::CyclicIndex<unsigned long, T2>::getCycle() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::CyclicIndex<unsigned long, T2>::getIndex() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::CyclicIndex<unsigned long, T2>::getValue() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::CyclicIndex<unsigned long, T2>::isOneCycleBehind(const iox::concurrent::CyclicIndex<unsigned long, T2>&) const LC=100% 5/5    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::concurrent::CyclicIndex<unsigned long, T2>::next() const LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::concurrent::CyclicIndex<unsigned long, T2>::operator +(T2) const LC=100% 5/5    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::concurrent::CyclicIndex<unsigned long, T2>::operator -(const iox::concurrent::CyclicIndex<unsigned long, T2>&) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/concurrent/lockfree_queue/index_queue.inl LC=90% 70/78   DC=69% 25/36   SCC=85% 17/20  MCDC=70% 7/10  

  iox::concurrent::IndexQueue<unsigned long, T2>::IndexQueue(iox::concurrent::IndexQueue<unsigned long, T2>::ConstructEmpty_t) LC=100% 2/2    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::concurrent::IndexQueue<unsigned long, T2>::IndexQueue(iox::concurrent::IndexQueue<unsigned long, T2>::ConstructFull_t) LC=100% 2/2    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::concurrent::IndexQueue<unsigned long, T2>::empty() const LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::IndexQueue<unsigned long, T2>::loadvalueAt(const iox::concurrent::CyclicIndex<unsigned long, unsigned long> &, std::memory_order) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::IndexQueue<unsigned long, T2>::pop() LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::concurrent::IndexQueue<unsigned long, T2>::pop(T2 &) LC=93% 14/15   DC=67% 4/6     SCC=50% 1/2    MCDC=0% 0/1    
  iox::concurrent::IndexQueue<unsigned long, T2>::popIfFull() LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::concurrent::IndexQueue<unsigned long, T2>::popIfFull(T2 &) LC=100% 11/11  DC=75% 3/4     SCC=N/A        MCDC=N/A       
  iox::concurrent::IndexQueue<unsigned long, T2>::popIfSizeIsAtLeast(unsigned long) LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::concurrent::IndexQueue<unsigned long, T2>::popIfSizeIsAtLeast(unsigned long, T2 &) LC=93% 14/15   DC=75% 6/8     SCC=100% 4/4   MCDC=100% 2/2  
  iox::concurrent::IndexQueue<unsigned long, T2>::push(T2) LC=65% 11/17   DC=25% 2/8     SCC=50% 2/4    MCDC=0% 0/2    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/concurrent/lockfree_queue/lockfree_queue.inl LC=100% 40/40  DC=90% 9/10    SCC=50% 1/2    MCDC=0% 0/1    

  iox::concurrent::LockFreeQueue<T1, unsigned long>::LockFreeQueue() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::LockFreeQueue<T1, unsigned long>::empty() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::LockFreeQueue<T1, unsigned long>::pop() LC=100% 6/6    DC=100% 2/2    SCC=N/A        MCDC=N/A       
  iox::concurrent::LockFreeQueue<T1, unsigned long>::push(T1 &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::LockFreeQueue<T1, unsigned long>::push(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::LockFreeQueue<T1, unsigned long>::readBufferAt(const unsigned long &) LC=100% 5/5    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::LockFreeQueue<T1, unsigned long>::size() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::LockFreeQueue<T1, unsigned long>::tryPush(T1 &&) LC=100% 6/6    DC=100% 2/2    SCC=N/A        MCDC=N/A       
  iox::concurrent::LockFreeQueue<T1, unsigned long>::tryPush(const T1 &) LC=100% 6/6    DC=100% 2/2    SCC=N/A        MCDC=N/A       
  iox::optional<T1> iox::concurrent::LockFreeQueue<T1, unsigned long>::pushImpl<T1>(T1 &&) LC=100% 9/9    DC=75% 3/4     SCC=50% 1/2    MCDC=0% 0/1    
  void iox::concurrent::LockFreeQueue<T1, unsigned long>::writeBufferAt<T1>(const unsigned long &, T1 &&) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/concurrent/lockfree_queue/resizeable_lockfree_queue.inl LC=95% 57/60   DC=87% 26/30   SCC=88% 21/24  MCDC=75% 9/12  

  bool iox::concurrent::ResizeableLockFreeQueue<T1, unsigned long>::setCapacity<T1, T2>(unsigned long, T1 &&) LC=93% 13/14   DC=88% 7/8     SCC=88% 7/8    MCDC=75% 3/4   
  iox::concurrent::ResizeableLockFreeQueue<T1, T2>::setCapacity(unsigned long)::[lambda(const T1 &) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::ResizeableLockFreeQueue<T1, unsigned long>::ResizeableLockFreeQueue(unsigned long) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::ResizeableLockFreeQueue<T1, unsigned long>::capacity() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::ResizeableLockFreeQueue<T1, unsigned long>::increaseCapacity(unsigned long) LC=89% 8/9     DC=75% 3/4     SCC=75% 3/4    MCDC=50% 1/2   
  iox::concurrent::ResizeableLockFreeQueue<T1, unsigned long>::push(T1 &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::ResizeableLockFreeQueue<T1, unsigned long>::push(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::ResizeableLockFreeQueue<T1, unsigned long>::setCapacity(unsigned long) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::ResizeableLockFreeQueue<T1, unsigned long>::tryGetUsedIndex(unsigned long &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1> iox::concurrent::ResizeableLockFreeQueue<T1, unsigned long>::pushImpl<T1>(T1 &&) LC=100% 9/9    DC=75% 3/4     SCC=50% 1/2    MCDC=0% 0/1    
  unsigned long iox::concurrent::ResizeableLockFreeQueue<T1, unsigned long>::decreaseCapacity<T1>(unsigned long, T1 &&) LC=95% 19/20   DC=93% 13/14   SCC=100% 10/10 MCDC=100% 5/5  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/concurrent/periodic_task.inl LC=100% 17/17  DC=100% 4/4    SCC=80% 8/10   MCDC=60% 3/5   

  iox::concurrent::PeriodicTask<T1>::PeriodicTask<T1...>(iox::concurrent::PeriodicTaskAutoStart_t, iox::units::Duration, const iox::string<(unsigned long)15> &, T1 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::PeriodicTask<T1>::PeriodicTask<T1...>(iox::concurrent::PeriodicTaskManualStart_t, const iox::string<(unsigned long)15> &, T1 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::PeriodicTask<T1>::isActive() const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::concurrent::PeriodicTask<T1>::run() LC=100% 6/6    DC=100% 2/2    SCC=75% 3/4    MCDC=50% 1/2   
  iox::concurrent::PeriodicTask<T1>::start(iox::units::Duration) LC=100% 4/4    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::PeriodicTask<T1>::stop() LC=100% 3/3    DC=100% 2/2    SCC=75% 3/4    MCDC=50% 1/2   
  iox::concurrent::PeriodicTask<T1>::~PeriodicTask() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/concurrent/smart_lock.inl LC=100% 5/5    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::concurrent::smart_lock<T1, T2>::Proxy::Proxy(T1 &, T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::smart_lock<T1, T2>::Proxy::operator ->() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::smart_lock<T1, T2>::Proxy::~Proxy() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::smart_lock<T1, T2>::getScopeGuard() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::smart_lock<T1, T2>::operator ->() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/concurrent/sofi.inl LC=98% 49/50   DC=75% 12/16   SCC=77% 23/30  MCDC=53% 8/15  

  bool iox::concurrent::SoFi<T1, unsigned long>::popIf<T1>(T1 &, const T1 &) LC=100% 14/14  DC=83% 5/6     SCC=80% 8/10   MCDC=60% 3/5   
  iox::concurrent::SoFi<T1, T2>::pop(T1 &)::[lambda(T1) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::SoFi<T1, unsigned long>::capacity() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::SoFi<T1, unsigned long>::empty() const LC=100% 7/7    DC=50% 1/2     SCC=83% 5/6    MCDC=67% 2/3   
  iox::concurrent::SoFi<T1, unsigned long>::pop(T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::concurrent::SoFi<T1, unsigned long>::push(const T1 &, T1 &) LC=92% 12/13   DC=75% 3/4     SCC=67% 4/6    MCDC=33% 1/3   
  iox::concurrent::SoFi<T1, unsigned long>::setCapacity(unsigned long) LC=100% 7/7    DC=100% 2/2    SCC=100% 4/4   MCDC=100% 2/2  
  iox::concurrent::SoFi<T1, unsigned long>::size() const LC=100% 6/6    DC=50% 1/2     SCC=50% 2/4    MCDC=0% 0/2    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/include/iceoryx_hoofs/internal/cxx/list.inl LC=98% 175/178 DC=85% 46/54   SCC=88% 60/68  MCDC=76% 26/34 

  T1 & iox::cxx::list<T1, unsigned long>::emplace_back<T1...>(T1 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  T1 & iox::cxx::list<T1, unsigned long>::emplace_front<T1...>(T1 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::cxx::list<T1, unsigned long>::IteratorBase<bool>::operator !=<bool>(const iox::cxx::list<T1, unsigned long>::IteratorBase<bool> &) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::cxx::list<T1, unsigned long>::IteratorBase<bool>::operator ==<bool>(const iox::cxx::list<T1, unsigned long>::IteratorBase<bool> &) const LC=67% 2/3     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  decltype(T2) iox::cxx::list<T1, unsigned long>::remove_if<T1>(T1) LC=100% 8/8    DC=100% 4/4    SCC=100% 4/4   MCDC=100% 2/2  
  iox::cxx::list<T1, T2>::remove(const T1 &)::[lambda(T1 &) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::IteratorBase<(bool)0> iox::cxx::list<T1, unsigned long>::emplace<T1...>(iox::cxx::list<T1, unsigned long>::IteratorBase<(bool)1>, T1 &&...) LC=93% 13/14   DC=75% 3/4     SCC=67% 4/6    MCDC=33% 1/3   
  iox::cxx::list<T1, unsigned long>::IteratorBase<bool>::IteratorBase(const iox::cxx::list<T1, unsigned long>::IteratorBase<(bool)0> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::IteratorBase<bool>::IteratorBase(std::conditional<bool, const iox::cxx::list<T1, unsigned long>*, iox::cxx::list<T1, unsigned long>*>::type, decltype(T2)) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::IteratorBase<bool>::operator *() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::IteratorBase<bool>::operator ++() LC=100% 4/4    DC=75% 3/4     SCC=100% 2/2   MCDC=100% 1/1  
  iox::cxx::list<T1, unsigned long>::IteratorBase<bool>::operator --() LC=100% 4/4    DC=75% 3/4     SCC=100% 2/2   MCDC=100% 1/1  
  iox::cxx::list<T1, unsigned long>::IteratorBase<bool>::operator ->() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::IteratorBase<bool>::operator =(const iox::cxx::list<T1, unsigned long>::IteratorBase<(bool)0> &) LC=100% 4/4    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::cxx::list<T1, unsigned long>::back() LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::back() const LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::begin() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::capacity() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::cbegin() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::cend() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::clear() LC=100% 2/2    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::cxx::list<T1, unsigned long>::empty() const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::cxx::list<T1, unsigned long>::end() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::erase(iox::cxx::list<T1, unsigned long>::IteratorBase<(bool)1>) LC=93% 14/15   DC=75% 3/4     SCC=67% 4/6    MCDC=33% 1/3   
  iox::cxx::list<T1, unsigned long>::front() LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::front() const LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::full() const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::cxx::list<T1, unsigned long>::getDataPtrFromIdx(decltype(T2)) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::getDataPtrFromIdx(decltype(T2)) const LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::getNextIdx(const iox::cxx::list<T1, unsigned long>::IteratorBase<(bool)1> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::getNextIdx(decltype(T2)) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::getNextIdx(decltype(T2)) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::getPrevIdx(const iox::cxx::list<T1, unsigned long>::IteratorBase<(bool)1> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::getPrevIdx(const iox::cxx::list<T1, unsigned long>::IteratorBase<(bool)1> &) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::getPrevIdx(decltype(T2)) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::getPrevIdx(decltype(T2)) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::init() LC=100% 11/11  DC=100% 2/2    SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::insert(iox::cxx::list<T1, unsigned long>::IteratorBase<(bool)1>, T1 &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::cxx::list<T1, unsigned long>::insert(iox::cxx::list<T1, unsigned long>::IteratorBase<(bool)1>, const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
